ds,y
2009-07-14,95210.9815128636
2009-07-15,92451.4489674086
2009-07-16,92326.1089674089
2009-07-17,90558.1623007422
2009-07-18,90691.0633007422
2009-07-19,86159.9763007423
2009-07-20,91415.103967409
2009-07-21,93309.7387919079
2009-07-22,92914.1205419081
2009-07-23,93175.4547641303
2009-07-24,91968.2650641301
2009-07-25,91151.5089327017
2009-07-26,87479.7928560733
2009-07-27,91848.2888560732
2009-07-28,94379.4825011285
2009-07-29,93700.9767157721
2009-07-30,92240.829211911
2009-07-31,96243.5750861442
2009-08-01,91214.2446869197
2009-08-02,86460.3586869195
2009-08-03,89895.0411430005
2009-08-04,93715.3251430004
2009-08-05,92736.5031586256
2009-08-06,92286.4632025293
2009-08-07,90703.643356495
2009-08-08,91042.1963564951
2009-08-09,87719.9180297235
2009-08-10,94413.8026593532
2009-08-11,95113.9676593532
2009-08-12,95521.5730595582
2009-08-13,93908.0623266213
2009-08-14,95581.34864638
2009-08-15,92403.4836463804
2009-08-16,89150.6526463804
2009-08-17,93471.8396463806
2009-08-18,95845.5812737496
2009-08-19,96811.5922737493
2009-08-20,95521.3806843751
2009-08-21,94432.5961945621
2009-08-22,93910.8911945622
2009-08-23,91815.8771945619
2009-08-24,95723.6603801743
2009-08-25,96264.4355471313
2009-08-26,96960.655033214
2009-08-27,96687.5170332144
2009-08-28,95340.7418998809
2009-08-29,93632.3671457821
2009-08-30,93903.0071457825
2009-08-31,100071.979583283
2009-09-01,98977.4586993776
2009-09-02,102574.027559378
2009-09-03,98638.8095593778
2009-09-04,96784.4347948477
2009-09-05,96732.9057948477
2009-09-06,97289.5327948474
2009-09-07,97330.5292270233
2009-09-08,99987.6322270232
2009-09-09,97260.2108936898
2009-09-10,94284.5368247246
2009-09-11,94028.6892654023
2009-09-12,92791.2012654022
2009-09-13,90947.3882654022
2009-09-14,95916.8770563507
2009-09-15,97004.3620563507
2009-09-16,97058.1529001011
2009-09-17,96817.2264077929
2009-09-18,97242.4897753143
2009-09-19,97756.3897753142
2009-09-20,95052.4825499925
2009-09-21,98615.7488253551
2009-09-22,98657.9837197513
2009-09-23,98156.0450624746
2009-09-24,97901.2284235854
2009-09-25,97642.28916762
2009-09-26,98813.8121676202
2009-09-27,95872.81316762
2009-09-28,99664.08416762
2009-09-29,101327.64216762
2009-09-30,99853.93216762
2009-10-01,99938.9749179394
2009-10-02,101472.853917939
2009-10-03,101257.81791794
2009-10-04,98113.1319179395
2009-10-05,100246.100086424
2009-10-06,105881.094181662
2009-10-07,103798.582181662
2009-10-08,101847.729181663
2009-10-09,105187.820181662
2009-10-10,101891.337533935
2009-10-11,99432.879533935
2009-10-12,103040.345389791
2009-10-13,104769.494466714
2009-10-14,104460.020466714
2009-10-15,103614.215982843
2009-10-16,103101.566621141
2009-10-17,102734.804600088
2009-10-18,101758.198600088
2009-10-19,107121.172373284
2009-10-20,107594.145516142
2009-10-21,108840.881854719
2009-10-22,105588.957213911
2009-10-23,106460.146105
2009-10-24,105060.934105
2009-10-25,105443.814105
2009-10-26,105347.949105
2009-10-27,110142.505105
2009-10-28,107443.916822849
2009-10-29,110782.400822849
2009-10-30,110577.598822848
2009-10-31,107078.602822848
2009-11-01,106808.278822849
2009-11-02,113184.386048074
2009-11-03,113172.615069483
2009-11-04,114338.160883642
2009-11-05,112898.35445507
2009-11-06,113389.424855071
2009-11-07,114095.12085507
2009-11-08,109780.341855071
2009-11-09,117293.207855071
2009-11-10,114429.013266835
2009-11-11,118383.637666835
2009-11-12,117250.046686206
2009-11-13,116808.073710796
2009-11-14,114953.265710796
2009-11-15,111621.336986858
2009-11-16,116772.829122857
2009-11-17,118263.066122857
2009-11-18,117961.270122858
2009-11-19,118253.200122858
2009-11-20,114038.225367682
2009-11-21,116599.541367683
2009-11-22,116796.143367683
2009-11-23,118712.879617683
2009-11-24,122264.425682708
2009-11-25,121362.616682708
2009-11-26,120258.499029981
2009-11-27,120800.644080114
2009-11-28,122179.089080113
2009-11-29,121934.114080113
2009-11-30,126598.150310329
2009-12-01,128959.86261369
2009-12-02,123594.179521776
2009-12-03,124796.745224587
2009-12-04,125495.544319825
2009-12-05,122907.792319825
2009-12-06,118733.354319825
2009-12-07,125817.139148592
2009-12-08,127148.742520421
2009-12-09,125512.855878145
2009-12-10,124440.532176532
2009-12-11,123269.394913557
2009-12-12,124066.610913556
2009-12-13,123387.826913556
2009-12-14,132181.027680479
2009-12-15,129409.780696573
2009-12-16,129233.057604134
2009-12-17,129481.785604134
2009-12-18,132784.875864115
2009-12-19,133180.411864115
2009-12-20,132449.580864115
2009-12-21,138197.599345365
2009-12-22,139268.8204199
2009-12-23,142010.652607275
2009-12-24,148921.231042857
2009-12-25,152771.034042858
2009-12-26,131778.583042858
2009-12-27,126364.387042857
2009-12-28,131921.268042857
2009-12-29,136284.556042857
2009-12-30,136041.110167118
2009-12-31,133606.546167117
2010-01-01,132443.968167118
2010-01-02,131914.470167118
2010-01-03,129909.597167118
2010-01-04,136330.542626888
2010-01-05,135784.158626888
2010-01-06,137355.930626888
2010-01-07,136335.434626888
2010-01-08,137167.908626888
2010-01-09,141481.416626888
2010-01-10,139529.669626888
2010-01-11,138001.633626888
2010-01-12,139283.445626888
2010-01-13,131995.534626888
2010-01-14,127313.465626888
2010-01-15,124807.608061379
2010-01-16,119316.09706138
2010-01-17,116895.596540387
2010-01-18,120199.524061379
2010-01-19,122815.73506138
2010-01-20,120465.665529801
2010-01-21,123476.397172077
2010-01-22,118047.289229369
2010-01-23,121318.795731959
2010-01-24,121034.342731959
2010-01-25,123639.50473196
2010-01-26,123850.957210967
2010-01-27,123145.604210967
2010-01-28,120547.638210968
2010-01-29,119407.667050163
2010-01-30,120166.50832289
2010-01-31,119529.647322891
2010-02-01,124052.048912
2010-02-02,122154.439912
2010-02-03,120957.094911999
2010-02-04,122139.085755902
2010-02-05,117132.927013183
2010-02-06,118262.754534175
2010-02-07,117228.476534176
2010-02-08,121031.155802118
2010-02-09,121425.463973547
2010-02-10,121183.037657757
2010-02-11,120839.860657757
2010-02-12,120184.264204461
2010-02-13,118554.790980161
2010-02-14,114567.880980162
2010-02-15,118288.686225532
2010-02-16,120325.524972076
2010-02-17,119050.246972076
2010-02-18,119605.355309975
2010-02-19,119790.103309975
2010-02-20,119793.151309975
2010-02-21,118149.943309975
2010-02-22,121625.535388415
2010-02-23,125767.546000021
2010-02-24,122851.917000022
2010-02-25,121005.986853165
2010-02-26,119154.278853166
2010-02-27,117829.668853166
2010-02-28,115151.269853166
2010-03-01,116083.638238411
2010-03-02,118240.912238412
2010-03-03,118141.689860453
2010-03-04,115229.094324086
2010-03-05,114164.632655547
2010-03-06,114976.688655546
