,ds,y
0,2009-07-14,49910.58257787547
1,2009-07-15,48567.12157787535
2,2009-07-16,48759.56857787539
3,2009-07-17,48740.76157787549
4,2009-07-18,56766.75557787557
5,2009-07-19,57228.24757787538
6,2009-07-20,49710.221138481465
7,2009-07-21,49218.83913848148
8,2009-07-22,48963.67313848142
9,2009-07-23,48867.482138481464
10,2009-07-24,49790.57733196814
11,2009-07-25,56708.1083319681
12,2009-07-26,57943.22233196808
13,2009-07-27,50608.07693273574
14,2009-07-28,50274.20909812047
15,2009-07-29,49681.15184571207
16,2009-07-30,49022.99207753248
17,2009-07-31,51728.57207753241
18,2009-08-01,56889.55607753242
19,2009-08-02,58376.54107753239
20,2009-08-03,56996.0939374547
21,2009-08-04,50228.568937454635
22,2009-08-05,49581.76504097021
23,2009-08-06,48792.88383830988
24,2009-08-07,49651.80309580382
25,2009-08-08,55717.568095803676
26,2009-08-09,58516.994607614724
27,2009-08-10,50722.93860761478
28,2009-08-11,49819.00480919554
29,2009-08-12,49714.85706464124
30,2009-08-13,49294.66506464117
31,2009-08-14,51093.899303209815
32,2009-08-15,57184.96330320986
33,2009-08-16,59007.49330320981
34,2009-08-17,50279.42430320993
35,2009-08-18,51033.581247097645
36,2009-08-19,51839.23424709758
37,2009-08-20,50683.52224709764
38,2009-08-21,50977.064247097565
39,2009-08-22,58464.35924709763
40,2009-08-23,60388.62824709761
41,2009-08-24,52143.16924709763
42,2009-08-25,51775.40824709759
43,2009-08-26,51579.9382470976
44,2009-08-27,51066.74724709756
45,2009-08-28,52355.62651294625
46,2009-08-29,59196.29051294626
47,2009-08-30,63033.70451294632
48,2009-08-31,54169.117512946315
49,2009-09-01,51573.361512946314
50,2009-09-02,52915.51851294616
51,2009-09-03,51486.39827369396
52,2009-09-04,51543.40951294637
53,2009-09-05,60813.88351294628
54,2009-09-06,64303.8015129462
55,2009-09-07,51254.224512946195
56,2009-09-08,50934.60251294614
57,2009-09-09,49431.36251294635
58,2009-09-10,48931.541512946365
59,2009-09-11,50173.861672946325
60,2009-09-12,58509.17253581548
61,2009-09-13,60138.89953581549
62,2009-09-14,50827.33453581546
63,2009-09-15,50309.10553581553
64,2009-09-16,50162.080535815585
65,2009-09-17,50047.290535815584
66,2009-09-18,51325.016535815594
67,2009-09-19,61082.06953581544
68,2009-09-20,63568.161535815365
69,2009-09-21,51484.05653581543
70,2009-09-22,50048.140535815466
